,Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%
101,102,Jamal Agnew,DET,25,WR,14,2,0,1,0,0,0,0,0,0.0%,0,0.0%,1,100.0%
102,103,Keenan Allen*,LAC,28,WR,14,13,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%
103,104,Randall Cobb,HOU,30,WR,10,2,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%
104,105,Riley Dixon,NYG,27,P,16,0,0,1,0,0,0,0,0,0.0%,0,0.0%,0,0.0%
105,106,Alex Erickson,CIN,28,WR,16,2,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%
106,107,Chris Jones,DAL,31,P,8,0,0,1,0,0,0,0,0,0.0%,0,0.0%,0,0.0%
107,108,Brett Kern,TEN,34,P,13,0,0,1,0,0,0,0,0,0.0%,0,0.0%,0,0.0%
108,109,D.J. Moore,CAR,23,WR,15,14,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%
109,110,Zach Pascal,IND,26,WR,16,14,0,1,0,0,0,0,0,0.0%,1,100.0%,0,0.0%
110,111,Sammy Watkins,KAN,27,WR,10,9,0,1,0,0,0,0,0,0.0%,0,0.0%,0,0.0%
111,112,Isaiah Wright,WAS,23,WR,14,6,0,1,0,0,1,0,0,0.0%,0,0.0%,0,0.0%
